Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 1,Inbound Call,9.3.10 8:05,9.3.10 8:10,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Handle Case,11.3.10 10:30,11.3.10 10:32,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Call Outbound,11.3.10 11:45,11.3.10 11:52,FL,Customer 1,MacBook Pro,Referred to Servicer,Henk
Case 9,Inbound Email,19.3.10 19:47,21.3.10 8:17,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 9,Call Outbound,21.3.10 8:32,21.3.10 8:33,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 9,Handle Email,21.3.10 8:33,21.3.10 8:33,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 10,Handle Email,27.3.10 11:29,27.3.10 11:30,FL,Customer 10,iPhone,Product Assistance,Jochem
Case 17,Inbound Call,4.3.10 7:35,4.3.10 7:46,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,4.3.10 7:53,4.3.10 7:55,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,8.3.10 11:16,8.3.10 11:18,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,11.3.10 11:15,11.3.10 11:19,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Inbound Call,14.3.10 17:53,14.3.10 17:56,FL,Customer 15,MacBook Pro,Referred to Servicer,Monique
Case 19,Inbound Email,14.3.10 14:08,18.3.10 8:04,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Inbound Email,18.3.10 8:06,18.3.10 8:07,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Handle Case,18.3.10 8:07,18.3.10 8:08,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 19,Handle Case,18.3.10 8:09,18.3.10 8:09,FL,Customer 17,MacBook Pro,Product Assistance,Henk
Case 20,Handle Case,27.3.10 11:39,27.3.10 11:39,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 20,Handle Case,27.3.10 12:04,27.3.10 12:10,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 20,Handle Case,4.4.10 9:34,4.4.10 9:34,FL,Customer 18,iPhone,Product Assistance,Mariska
Case 25,Inbound Call,12.3.10 9:53,12.3.10 9:56,FL,Customer 22,iPhone,Product Assistance,Henk
Case 25,Call Outbound,12.3.10 11:45,12.3.10 11:49,FL,Customer 22,iPhone,Product Assistance,Henk
Case 28,Handle Email,6.3.10 13:57,6.3.10 14:03,FL,Customer 24,iPhone,Product Assistance,Mary
Case 28,Call Outbound,6.3.10 14:03,6.3.10 14:04,FL,Customer 24,iPhone,Product Assistance,Mary
